weekdayMin,weekdayRate,ppCode,parkingSystem,ppName,vehCat,satdayMin,satdayRate,sunPHMin,sunPHRate,geometries/0/coordinates,geometries/1/coordinates,startTime,parkCapacity,endTime,remarks,geometries/2/coordinates,geometries/3/coordinates,geometries/4/coordinates,geometries/5/coordinates
30 mins,$0.60,O0013,C,OUTRAM HILL ,Car,30 mins,$0.60,30 mins,$0.60,"28294.8605,29718.2464",,08.30 AM,11,10.00 PM,,,,,
870 mins,$0.65,O0013,C,OUTRAM HILL ,Motorcycle,870 mins,$0.65,870 mins,$0.65,"28294.8605,29718.2464",,08.30 AM,10,10.00 PM,,,,,
30 mins,$0.60,O0026,C,OPAL CRESCENT ,Car,30 mins,$0.60,0 mins,$0.00,"31742.9343,34468.5009",,08.30 AM,46,05.00 PM,,,,,
30 mins,$0.60,O0027,C,ONAN ROAD ,Car,30 mins,$0.60,30 mins,$0.60,"35440.0014,32633.7261",,08.30 AM,55,10.00 PM,,,,,
870 mins,$0.65,O0027,C,ONAN ROAD ,Motorcycle,870 mins,$0.65,870 mins,$0.65,"35440.0014,32633.7261",,08.30 AM,5,10.00 PM,,,,,
30 mins,$0.60,O0028,B,OUTRAM ROAD OFF STREET ,Car,30 mins,$0.60,30 mins,$0.60,"28235.0293,29645.7793",,07.00 AM,39,10.30 PM,Per min charging. Parking charge between 10.30pm & 7am is capped at $5,,,,
30 mins,$0.60,O0028,B,OUTRAM ROAD OFF STREET ,Car,30 mins,$0.60,30 mins,$0.60,"28235.0293,29645.7793",,10.30 PM,39,07.00 AM,Per min charging. Parking charge between 10.30pm & 7am is capped at $5,,,,
510 mins,$5.00,O0028,B,OUTRAM ROAD OFF STREET ,Car,510 mins,$5.00,510 mins,$5.00,"28235.0293,29645.7793",,10.30 PM,39,07.00 AM,Per min charging. Parking charge between 10.30pm & 7am is capped at $5,,,,
930 mins,$0.65,O0028,B,OUTRAM ROAD OFF STREET ,Motorcycle,930 mins,$0.65,930 mins,$0.65,"28235.0293,29645.7793",,07.00 AM,6,10.30 PM,Per min charging. Parking charge between 7am & 10.30pm and between 10.30pm & 7am respectively is capped at $0.65.,,,,
510 mins,$0.65,O0028,B,OUTRAM ROAD OFF STREET ,Motorcycle,510 mins,$0.65,510 mins,$0.65,"28235.0293,29645.7793",,10.30 PM,6,07.00 AM,Per min charging. Parking charge between 7am & 10.30pm and between 10.30pm & 7am respectively is capped at $0.65.,,,,
30 mins,$0.60,O0029,C,ONAN ROAD OFF STREET ,Car,30 mins,$0.60,30 mins,$0.60,"35587.8617,32456.6604",,08.30 AM,15,10.00 PM,,,,,
870 mins,$0.65,O0029,C,ONAN ROAD OFF STREET ,Motorcycle,870 mins,$0.65,870 mins,$0.65,"35587.8617,32456.6604",,08.30 AM,2,10.00 PM,,,,,
30 mins,$0.60,O0031,C,ONAN ROAD / JOO CHIAT ROAD OFF STREET,Car,30 mins,$0.60,30 mins,$0.60,"35264.0453,32947.0656",,08.30 AM,20,10.00 PM,,,,,
30 mins,$0.60,P0002,C,PAHANG STREET ,Car,30 mins,$0.60,30 mins,$0.60,"31093.9711,31599.6576",,08.30 AM,25,10.00 PM,,,,,
870 mins,$0.65,P0002,C,PAHANG STREET ,Motorcycle,870 mins,$0.65,870 mins,$0.65,"31093.9711,31599.6576",,08.30 AM,3,10.00 PM,,,,,
