carparkNo,geometries/0/coordinates,lotsAvailable,lotType,geometries/1/coordinates
B0096,"21717.7944,35943.5488",22,C,
C0133,"29654.2722,30075.4067",0,C,
H0003,"31169.2716,32658.1289",0,C,
H0011,"23536.0411,32555.5183",50,C,
H0022,"28637.0785,31726.799",18,C,
H0024,"29559.0015,29869.2184",1,C,
J0055,"21507.9383,35973.7122",13,C,
K0037,"31142.4514,32510.4735",5,C,
K0039,"31186.6906,32479.9759",24,C,
M0040,"29807.0475,31944.2444",78,C,
M0059,"29585.4645,32015.8551",64,C,"29516.2662,32069.536"
M0059,"29585.4645,32015.8551",46,H,"29516.2662,32069.536"
P0013,"29655.252,28623.257",58,C,
P0033,"41707.7337,39880.7452",330,C,
P0075,"31277.0796,32478.0378",12,C,
T0017,"27034.247,29927.8861",19,C,
T0129,"34890.0649,33240.6285",251,C,
U0036,"38320.451,32726.3989",51,C,
U0042,"40592.3344,34925.3316",0,C,
V0007,"30538.5355,32514.5247",1,C,
W0029,"21111.8896,30225.541",64,C,
W0055,"23868.7083,32598.1363",0,C,
M0084,"29797.8344,28569.8125",40,C,
