CarParkID,Area,Development,Location,AvailableLots,LotType,Agency
M0088,,MARGARET DRIVE OFF STREET,1.3004199971190697 103.80301640122015,47,C,URA
N0006,,NEIL ROAD OFF STREET,1.2793383109971352 103.84191274173004,0,C,URA
N0012,,NORTH BRIDGE ROAD MARKET OFF STREET,1.3060825735308885 103.86355580061468,41,C,URA
N0013,,NORTH BRIDGE ROAD OFF  STREET,1.3004003577425078 103.8566466267615,0,C,URA
O0028,,OUTRAM ROAD OFF STREET,1.284380404146159 103.83543041047004,32,C,URA
O0028,,OUTRAM ROAD OFF STREET,1.284380404146159 103.83543041047004,0,Y,URA
P0013,,PRINCE EDWARD ROAD / SHENTON WAY OFF STREET,1.2751330286026683 103.84819161939349,82,C,URA
P0033,,PASIR RIS CLOSE OFF STREET,1.3769386098723717 103.95649247971937,307,C,URA
P0048,,PEARL BANK OFF STREET,1.2833483597834672 103.84053784909122,0,Y,URA
P0048,,PEARL BANK OFF STREET,1.2833483597834672 103.84053784909122,19,C,URA
P0054,,PASIR PANJANG FOOD CENTRE OFF STREET,1.276199590285395 103.79131016138153,26,C,URA
P0054,,PASIR PANJANG FOOD CENTRE OFF STREET,1.276199590285395 103.79131016138153,0,Y,URA
P0075,,PENHAS ROAD / LAVENDER STREET OFF STREET,1.3099941806456645 103.86276472942548,14,C,URA
P0093,,PASIR PANJANG ROAD OFF  STREET,1.2767043723268199 103.79566016940372,19,C,URA
P0094,,PASIR PANJANG ROAD / SOUTH BUONA VISTA ROAD,1.278902209141637 103.78560248250301,0,Y,URA
P0094,,PASIR PANJANG ROAD / SOUTH BUONA VISTA ROAD,1.278902209141637 103.78560248250301,23,C,URA
P0096,,PENANG ROAD OFF STREET,1.29980874920638 103.84212527391578,0,C,URA
P0106,,PASIR PANJANG ROAD/ CLEMENTI ROAD OFF ST,1.2915978691049539 103.76812504370315,0,Y,URA
P0106,,PASIR PANJANG ROAD/ CLEMENTI ROAD OFF ST,1.2915978691049539 103.76812504370315,0,C,URA
P0109,,PASIR RIS PARK CAR PARK E OFF STREET,1.384591856813094 103.94380876998527,10,C,URA
P0111,,PAHANG STREET OFF STREET,1.301759650174214 103.86086565472472,0,C,URA
P0113,,PASIR PANJANG FOOD CENTRE (TEMP) OFF ST,1.2753574846084121 103.79247441821592,64,C,URA
P0113,,PASIR PANJANG FOOD CENTRE (TEMP) OFF ST,1.2753574846084121 103.79247441821592,0,Y,URA
P0117,,PECK SEAH STREET OFF STREET,1.2774732980424977 103.84526725219939,30,C,URA
P0117,,PECK SEAH STREET OFF STREET,1.2774732980424977 103.84526725219939,0,Y,URA
Q0006,,QUEEN STREET OFF STREET,1.2999226816586922 103.85336325926622,0,Y,URA
Q0006,,QUEEN STREET OFF STREET,1.2999226816586922 103.85336325926622,0,C,URA
Q0008,,QUEENSWAY OFF STREET ( RIDEOUT TEA GARDEN),1.304678940975563 103.80216512483725,51,C,URA
R0038,,RACE COURSE ROAD / NORTHUMBERLAND ROAD,1.3109181708259368 103.85225012243872,10,Y,URA
R0038,,RACE COURSE ROAD / NORTHUMBERLAND ROAD,1.3109181708259368 103.85225012243872,23,C,URA
S0020,,SEMBAWANG HILLS FOOD CENTRE OFF STREET,1.3722654677464599 103.8288231857784,6,C,URA
S0049,,Serangoon Rd/Lavender  St Off Street,1.3148874577182357 103.8585875713976,5,Y,URA
S0049,,Serangoon Rd/Lavender  St Off Street,1.3148874577182357 103.8585875713976,110,C,URA
S0055,,SERANGOON GARDEN MARKET OFF STREET,1.3627998667047532 103.86632587825486,67,C,URA
S0106,,SIN MING DRIVE OFF STREET,1.3566926857648622 103.83606317799318,59,C,URA
S0108,,SHREWSBURY ROAD OFF STREET,1.3186024746953806 103.85067798545586,19,C,URA
S0108,,SHREWSBURY ROAD OFF STREET,1.3186024746953806 103.85067798545586,3,Y,URA
S0112,,SEAH IM ROAD OFF STREET,1.2680395173231764 103.81759598210823,417,C,URA
S0112,,SEAH IM ROAD OFF STREET,1.2680395173231764 103.81759598210823,372,Y,URA
S0150,,SULTAN GATE / ALIWAL STREET OFF STREET,1.3024545607005944 103.86058819582028,1,C,URA
S0166,,SEMBAWANG RD/ADMIRALTY  RD EAST OFF STREET,1.453699410782659 103.83314342266785,0,C,URA
S0166,,SEMBAWANG RD/ADMIRALTY  RD EAST OFF STREET,1.453699410782659 103.83314342266785,10,Y,URA
S0171,,SPOONER ROAD OFF STREET,1.2756889219219043 103.8350591496928,100,C,URA
T0017,,TIONG BAHRU PARK OFF STREET,1.2869316650017533 103.82464089829915,19,C,URA
T0103,,TEMBELING ROAD OFF STREET,1.3128601116279206 103.90081283677726,155,C,URA
T0103,,TEMBELING ROAD OFF STREET,1.3128601116279206 103.90081283677726,35,Y,URA
T0129,,TANJONG KATONG COMPLEX,1.3168901823921382 103.89522931567416,294,C,URA
